S_i,A_i
18732,216355
441070,825150
226485,875139
268135,181996
285767,749486
466598,75565
750116,892986
471581,240456
908318,321720
392645,649796
247488,479333
756244,249122
47113,344751
471317,261820
621378,633919
88793,314634
685179,160599
461446,41589
27229,555510
659593,905267
127947,865056
335779,646889
516434,656900
787059,281702
47498,937342
89216,306621
467131,601467
483077,725683
453606,857623
826182,725179
628751,459016
523040,640698
959015,867195
376586,494125
787217,944818
321189,561529
608141,409487
264573,871631
883667,741760
489776,820184
769351,487449
597752,711098
438082,705708
285368,537334
773787,188885
193421,483591
957009,160113
421764,314924
727438,506383
320504,310655
991464,107354
18221,55725
11102,359095
198970,988338
914280,885710
886973,10640
876271,901292
349559,23879
989562,944416
450470,809974
611738,254731
960503,194934
706856,261386
895187,46503
809305,514663
644769,127987
7594,276295
933055,445002
352870,818572
905835,878740
366138,216819
373187,108254
33653,4862
359049,225716
297950,453015
878514,482484
337318,14143
624661,347319
794301,807570
638542,647326
466384,995460
46746,216708
263588,760833
302215,232489
105662,123576
203153,850607
111178,271697
926170,507605
380009,282988
915283,623603
569960,26112
562363,815384
712886,686366
647651,345066
755188,869064
237434,30226
700480,31541
91253,914858
162144,235625
98500,317690
893729,199777
84085,957270
244478,207869
846229,795740
665401,34568
687473,340107
675138,278234
67119,105853
439515,589724
133325,495404
378576,570328
717903,862261
309237,760696
648864,86247
740775,807935
20581,423783
419271,387020
379721,755367
642859,883196
814820,87873
859312,83472
335991,702154
739391,284750
382071,875961
863953,842977
719376,795322
977994,938630
212404,250238
1280,934000
173750,473334
406070,335091
856939,891067
82045,435349
68739,986053
906973,476697
81513,179460
126612,189627
641852,927968
603868,695541
80885,404741
902329,921719
306639,980608
501445,30483
37043,947059
301125,726668
654616,101452
638071,51030
725065,676355
162035,450950
499856,734374
157826,510342
570690,307882
662195,110930
159578,479761
592324,181777
724101,567185
392208,387916
938780,504642
131588,760195
791773,708942
631782,653575
950363,676234
509015,920418
27334,759922
773161,647731
232480,55173
502765,165529
953388,561870
118783,759647
15575,464739
468320,505187
67276,181076
119548,57569
35992,444991
913191,651575
965245,196437
823688,160587
997254,626585
547034,87774
127156,100618
629264,940817
981614,152967
603399,786965
486252,409776
536826,205786
628059,654668
765695,15762
569108,68581
718657,942327
679517,84708
382448,8906
687006,808954
196946,223531
52416,874237
318476,721851
162555,219880
389883,126645
735115,375889
178499,908548
406917,572296
582309,414156
163522,907035
559157,240181
484490,604771
640689,654322
184703,610656
332147,245464
459587,696062
26038,651305
703821,870940
168044,961645
186545,795316
749083,650908
610062,863346
372189,328803
703114,255167
321030,614662
485849,525382
86391,633431
429901,360472
976485,602411
677930,158885
675068,939523
568574,336678
474662,38884
771167,449333
560711,33008
362868,988691
471356,578738
822566,265610
760634,32171
813628,975361
764655,895216
237058,352805
625771,892809
572933,517359
20979,363774
391304,51940
772772,686397
167186,19692
979643,637957
568675,790786
772980,759908
609669,262087
186184,255645
103659,452917
927222,209002
389354,639506
44109,326824
433042,664755
762674,92778
599412,916106
541881,937796
208091,134472
427345,870116
470967,388450
723373,555588
559699,837429
955704,351936
640962,866000
400213,272046
68032,430510
198305,303945
380885,320018
715529,664905
236597,270904
809058,765737
129146,535380
318308,260587
872547,100830
429225,168530
670718,409655
453593,392977
748190,978097
949141,891944
997425,943743
952429,408912
704139,490217
949017,185504
444073,503994
789659,453080
133573,754680
400962,710107
3643,551067
213796,472456
151363,27947
505699,633386
256476,937706
648975,97357
307045,878160
767169,623954
416665,274392
599214,924101
911880,269433
456540,142979
937840,11678
788149,287384
786681,2097
74267,967764
775863,642018
963567,847451
98127,978382
77470,975711
675368,387735
18488,227523
320017,284756
523279,357371
437246,298551
135426,932687
752368,891043
691596,877509
24992,875810
549522,283256
985765,146631
72666,212891
942985,294376
289668,981243
180160,470905
875041,310070
89320,377719
825177,560230
825454,281581
393956,439719
520420,268208
709516,881928
239104,931564
883810,716262
28088,619232
227021,895680
408887,44474
322253,144457
721979,261827
648265,693710
207521,254268
531456,925020
33044,289045
210572,944228
757720,645005
496939,955841
285611,911430
825351,837367
158597,100335
106621,332179
738074,485961
854355,585938
466419,945665
478460,325055
78277,692729
856577,565471
623820,424637
797502,594054
370612,70762
816589,183912
127416,845209
558515,411334
393345,104900
990044,881649
5349,125888
951371,394871
595996,123793
375822,560243
529594,702601
846844,64736
604770,599324
624909,470838
852530,316341
150266,164790
303535,883252
89758,42987
822867,872213
100638,128917
517969,322687
136606,729375
724511,781878
26887,962091
372651,916469
810675,666042
301442,32164
489093,853267
998626,164255
363462,810465
20304,692984
648700,702037
342999,57347
20029,274766
497745,729424
718523,918444
534000,713992
896359,963535
96251,680298
739244,531150
104197,390372
979149,439795
538518,608167
675774,329365
16081,96713
193192,637348
871679,864931
293516,840756
482708,796920
802009,986267
102382,208011
171320,849388
723200,686832
86668,332529
704611,107429
451696,30369
677746,792017
487806,523483
996347,330790
86466,418900
52763,796392
985777,691410
372598,376535
289776,82852
779943,311141
45723,299387
974654,608674
788497,752729
681695,841427
307873,706128
253614,151594
122457,583211
301777,728927
468524,173211
234532,688892
833912,991002
494212,980471
465629,974456
977993,37535
921141,807092
180191,15092
895124,232555
344692,234271
182603,68080
942226,137676
374426,134625
877713,339090
806791,497967
321681,197396
201912,706343
626876,487060
846621,742545
200768,418219
905716,983380
859068,987879
330942,278425
353659,414177
256640,244508
90963,242397
485443,155626
76652,819156
286742,31357
638970,785298
634777,102254
324975,766353
774074,659816
676480,751300
571591,962711
441643,305678
915533,20268
430175,822029
545395,562946
63340,843121
337695,990485
694729,476119
614666,752307
893241,820303
853720,890999
171187,669478
892682,375925
955587,942750
269808,449805
967688,185108
369280,728952
678347,828771
600582,966389
794134,460528
479534,270719
835315,16496
433345,236946
385446,575825
676529,542702
560677,369146
567237,57163
25129,819367
572811,885428
936849,507440
327598,398935
364459,519818
837982,199610
633010,831932
949164,948879
497295,621637
611274,525689
986436,751072
514271,472270
974697,948323
682285,165028
775121,38215
974583,469091
471145,141086
235119,367951
755898,239705
356962,309051
211702,699943
112726,302344
663613,26731
302302,529982
633942,841020
408593,638808
160453,557472
93193,292901
5325,563006
279726,95525
523299,999472
911888,888902
585657,386257
948383,603143
652776,657482
657809,87189
849709,453525
827881,625588
462107,344780
309985,593584
229574,786865
542399,739749
594957,984180
680852,618613
367039,637039
98325,508038
665957,57713
395965,829901
863800,806156
888545,20547
626055,900944
735805,403005
256986,677359
546180,367774
207749,634270
498437,620249
388624,606290
333577,599017
343146,655818
78938,502252
975519,13672
807387,994203
486154,991473
113752,344337
918226,860722
237767,265444
567204,355066
174215,931178
952267,363918
603244,559194
120462,686150
387924,738908
658270,964122
54710,355055
855239,212618
493611,261463
500346,80794
973690,986521
71503,72434
841078,361680
223872,72047
327234,616437
542736,471834
270234,307574
130047,348553
230656,336214
85926,771387
329804,1012
110920,824572
510892,540154
382508,255683
256102,515727
678214,874068
803665,921063
329840,320057
158166,899279
541413,466904
465362,957417
894676,445717
212024,319387
948802,577150
521375,61472
143097,779122
728602,848464
330252,369788
167158,55110
951707,807594
490030,264413
337302,799932
725048,514921
88732,565624
5671,97824
532380,924425
838311,651497
760280,930551
304855,881593
419682,967673
720108,48082
607368,372812
705416,451302
959630,286389
951397,83055
548867,720078
885039,341642
627745,699617
204289,164286
48819,988595
522846,798088
963734,472822
57922,496201
797717,452440
618126,186831
945947,108461
373528,190371
722510,200023
201464,17490
297862,414243
189127,527395
174930,356552
323629,699138
698514,399579
486929,640271
91301,436587
702311,274117
876456,316418
718583,447102
285646,467290
644727,925100
164489,255466
65501,697771
495956,814117
252926,284134
769619,412198
881737,767519
695554,972265
313442,689195
320276,363562
212655,757692
503477,919921
558634,904633
564375,491997
271047,560671
721743,145641
655060,68709
906424,74881
191405,86396
189516,890912
375638,966023
875189,157949
396719,300227
523780,411694
67344,862686
348337,31089
78731,835280
143836,819524
401185,484084
390573,293405
80158,120213
109837,672686
618691,166118
718920,334990
144963,848025
926574,41283
475163,397545
599722,618245
685112,859847
987232,996926
755593,67479
86216,440694
951483,300860
47476,630259
899653,413076
153870,79503
680918,245511
380702,127817
648562,692736
229121,652232
724557,573775
661730,356728
118513,730693
371075,71903
369378,159876
986843,265542
450411,306340
889596,5823
390902,571674
478039,690289
733478,520857
659367,999216
501867,92858
818946,578107
799320,785032
499234,254181
633252,880277
363221,59962
571397,361701
380702,910630
963267,103760
280839,710335
590696,212214
220744,10078
90745,917945
718314,699117
312285,153039
83638,87571
116059,790301
498933,592623
107744,424952
183706,334200
928137,182485
250338,980929
336726,568524
311185,817337
156702,55536
929135,127605
611148,265917
441884,398288
703752,147485
236151,205765
801993,384570
850255,410664
818989,716613
191043,496424
523976,839196
955963,511498
288322,404207
467709,848810
14850,206835
586270,521038
952251,186761
240405,665942
482395,934828
343850,4889
728725,216574
502550,689399
116805,25430
278562,262262
520957,872482
558576,639372
553090,892333
980699,357568
313381,309701
263893,267353
526935,900276
407810,396683
429921,72643
42439,327728
511068,376438
530836,756944
256009,123014
779401,872058
598219,356647
336162,477862
730164,903133
228842,296950
546193,840012
825447,977094
590837,287793
378818,842024
23857,944337
135831,507669
677474,190534
722004,242261
266190,570703
303129,977867
21744,436238
700785,385915
990037,150059
203308,631146
237807,559018
57488,507408
459240,780121
692109,474057
238936,925550
321739,441487
414422,347899
903479,182508
793521,836787
179481,804694
362024,151462
134141,338151
592428,902606
918424,651654
125426,844665
481969,50653
542607,893057
869077,291462
609450,680535
459657,104600
242869,224281
965145,380328
179243,481304
224471,553875
165317,654213
728673,255006
650925,699520
618945,885873
50061,939245
345315,534679
649317,29010
402171,840525
416993,277432
133326,843951
946522,420604
104384,662878
509179,47847
14219,823308
682648,939475
918703,971590
295243,456173
79634,417378
422055,29064
385298,565418
438283,748334
783563,138708
328069,469786
916392,65582
901140,573072
712560,315731
773091,428660
244087,292370
435020,186600
21593,971480
256699,185699
97943,75216
8361,503404
738296,879115
878236,222793
981403,36645
445792,426945
934513,584122
264154,114152
354099,655973
230455,146277
493901,407756
791098,974349
730065,28510
817134,978843
958644,174117
909411,424732
559017,234773
583559,483956
907805,98129
390176,677668
897511,261598
556863,852634
817163,805043
182045,553760
829938,137881
648371,622154
980375,32464
671072,726276
757316,84172
603823,706297
453416,925616
208873,133731
391105,829693
550342,748814
950437,487181
238517,650137
22492,142560
206838,622275
930253,863355
593173,741463
302374,109786
812059,238238
257914,375107
99785,601535
266422,53440
183823,882779
379751,185542
443879,902750
869530,242036
361097,607581
495020,929674
184814,149595
595467,877664
359266,593742
4383,554376
654816,78639
719884,791997
67442,827396
453567,695398
483110,649171
252545,268536
399028,699848
727553,722372
627064,956555
401230,596504
408186,187653
397304,357820
30888,565305
471157,42657
2672,939738
415475,880946
115971,97754
569528,970612
267960,840555
741022,464750
998840,472756
980318,794940
14015,916269
905084,288873
882106,469219
943845,187255
400785,887799
288494,475050
681820,733224
69086,909731
719131,760765
550823,890677
55441,55959
776617,158104
287850,174439
52793,803065
725318,56519
136481,161856
163061,131230
194709,65644
83122,909655
524292,148323
551130,164959
16859,194275
520443,453172
115696,448573
196460,272077
102853,720135
716062,338728
794541,29396
339948,317020
746109,942332
293038,292671
258982,708142
720785,993215
528652,984305
604609,46146
713875,674194
947357,75327
40679,916212
9120,836066
144968,859577
374036,730230
143703,591295
871702,813782
179471,804387
485172,637511
415014,360440
257964,72081
152150,804775
498116,815752
370026,745743
14317,195166
834871,358203
734429,631187
362356,187866
598382,556089
502675,689681
726579,846796
910315,151343
441941,748668
380674,381190
881521,536882
228467,988055
775081,337349
805759,24376
806662,398411
455447,685278
629153,685789
214467,921555
527128,713091
163808,124256
841840,690183
466480,36233
834976,925943
415499,549392
73677,630337
359207,380267
359582,282841
222620,629780
294020,281675
691934,413688
222645,568237
112137,306292
889527,143210
388685,920277
875637,879020
50440,761721
43652,744104
696894,743477
443706,421046
246160,297153
992569,498778
591103,510024
43306,813015
490093,482235
685029,329732
843403,763758
464964,431294
691978,385689
27735,652730
952105,513238
89260,41647
129756,562054
362116,687218
348133,506161
31473,515462
81019,666512
173517,472574
369100,708505
200248,137797
180868,959001
136207,359447
596592,875323
635397,720712
490956,813911
649608,714529
161547,897830
717019,5908
372912,422160
719490,905483
593458,915656
953482,807632
403801,907202
205744,567159
557687,870877
66164,271666
91947,697482
685372,355250
101426,405448
18415,536457
541250,169535
289131,790991
612531,797529
968117,869477
506058,697709
872637,307322
357849,313842
392301,362201
490086,133125
180814,566083
594143,79745
364398,535119
413777,486732
893701,632036
817400,746689
687289,616178
69095,788234
919302,98287
341748,856664
529895,511714
941663,181321
946401,130848
575349,331800
562855,211787
18152,56920
656570,322542
802085,64875
626160,912789
934944,550429
271915,922875
35553,30154
99987,600450
565803,470334
510153,356600
741480,89862
52241,898584
193979,266550
122171,563058
747589,654882
542374,898393
724106,764493
732020,300132
975185,698950
46786,870273
283990,449636
850432,133354
384071,858041
954205,370931
590783,875351
686488,976925
473375,22340
224743,58573
680542,462790
148903,901593
995652,52463
31706,671434
683133,26505
854591,99397
709217,160984
925376,94872
569050,596051
833730,944424
336132,58020
382203,414964
701076,969479
472376,45602
477272,265428
209609,377427
893567,683545
591372,991155
920482,200734
605126,60571
817866,874847
291454,274316
983664,228771
806640,725250
265246,106730
695841,992140
911889,164861
151915,468327
904291,2228
351014,933345
58773,128333
717030,209066
469964,876648
18558,342186
412901,101429
12909,782569
443007,273679
909926,283161
628085,841332
986125,931689
710214,675095
44264,251364
702175,824570
56654,833688
958903,581974
549248,448915
202005,10828
956174,389604
63698,235665
191950,977379
816820,251618
864205,360400
676592,505247
140599,943921
41169,856412
140583,731283
157887,687664
598515,524132
43620,428800
274460,145704
114772,367194
185619,614513
13629,279475
961647,979544
429602,940408
740323,143313
845037,490010
911840,580298
467716,805000
778371,855868
213127,968949
686941,139272
571232,777559
7356,540630
520304,145929
452022,468563
325910,242552
254430,99166
657893,718049
484882,452026
767650,107140
884004,70271
158634,79539
110379,902377
924509,892603
689291,921145
270470,369382
814624,676405
21182,408808
594837,572414
119332,543721
627777,324881
394953,304113
781790,915841
772798,713346
496986,611840
480877,22889
51407,851126
466611,33128
994577,271457
119390,757553
866496,30583
762420,738155
786330,952833
785496,929919
455745,789007
216212,85442
976776,336357
922051,222450
453290,3921
684955,924745
688849,678205
214254,609211
289630,490706
470390,414048
452081,884722
309653,669157
969660,473066
724182,812780
44348,49241
179219,388157
648784,159199
446196,962197
452328,115336
195751,351371
545742,935856
875297,463735
866556,638646
316300,440565
666888,820667
126775,175382
375915,213494
248028,22263
458296,320015
92271,483283
591746,712199
477438,564619
125675,623444
772249,694894
725654,408842
577144,753837
249843,600400
741231,2479
520475,6641
558503,804228
371381,300240
254357,348231
159615,235151
351951,240583
453439,857505
521335,172847
627987,426469
557344,602475
921972,990166
630695,605384
441276,696295
776039,176830
136216,84247
125165,875201
570777,308985
556654,506626
865065,471189
919050,125407
595784,765763
43930,826936
778379,525842
308340,352174
66543,627757
61600,655629
736637,902412
500222,456066
493780,294693
770310,160935
624735,853440
621472,466755
824122,860075
236507,560057
393190,2515
819902,1593
759325,815517
831656,508103
305890,666008
25852,133606
293547,979943
794383,62552
456974,188186
199387,113124
893924,117827
486851,303397
1650,407890
877776,226504
376723,437738
862747,108693
758862,612385
562747,591037
545862,57819
24063,820795
626106,302618
497611,220956
344442,898574
824903,464812
723953,499425
412834,48
685296,475646
125863,630704
770333,150694
369772,242372
209768,960766
179746,916551
414645,387347
897630,609461
408433,231367
320981,600644
154544,995182
760225,324336
448012,971621
